year,month,app_name,cust_vol_mn,cust_val_cr,b2c_vol_mn,b2c_val_cr,b2b_vol_mn,b2b_val_cr,onus_vol_mn,onus_val_cr,total_vol_mn,total_val_cr,app_name_std
2022,4,Paytm Payments Bank App,740.76,85918.88,11.15,15.98,0.0,0.0,99.7,15714.2,851.61,101649.06,Paytm
2022,4,PhonePe,2616.26,486557.03,0.0,0.0,0.0,0.0,0.0,0.0,2616.26,486557.03,PhonePe
2022,4,Punjab National Bank Apps,0.09,46.27,0.0,0.0,0.0,0.0,0.0,0.0,0.09,46.27,Punjab National Bank Apps
2022,4,Punjab Sind Bank Apps,0.01,5.38,0.0,0.0,0.0,0.0,0.0,0.0,0.01,5.38,Punjab Sind Bank Apps
2022,4,RBL Bank Apps,0.3,113.65,0.0,0.0,0.0,0.0,0.0,0.0,0.3,113.65,RBL Bank Apps
2022,4,Samsung Pay,3.81,470.11,0.0,0.0,0.0,0.0,0.0,0.0,3.81,470.11,Samsung Pay
2022,4,South Indian Bank Apps,0.13,45.03,0.0,0.0,0.0,0.0,0.0,0.0,0.13,45.03,South Indian Bank Apps
2022,4,Standard Chartered Bank Apps,0.12,68.15,0.0,0.0,0.0,0.0,0.0,0.0,0.12,68.15,Standard Chartered Bank Apps
2022,4,State Bank of India Apps,4.03,2118.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03,2118.0,State Bank of India Apps
2022,4,SuperPay,0.02,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.4,SuperPay
2022,4,Tamilnad Mercantile Bank Apps,0.01,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.26,Tamilnad Mercantile Bank Apps
2022,4,TataNeu,0.35,32.82,0.0,0.0,0.0,0.0,0.0,0.0,0.35,32.82,TataNeu
2022,4,UCO Bank Apps,0.21,41.48,0.0,0.0,0.0,0.0,0.0,0.0,0.21,41.48,UCO Bank Apps
2022,4,Ultracash,0.03,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.03,2.22,Ultracash
2022,4,Union Bank Apps,0.42,198.34,0.0,0.0,0.0,0.0,0.0,0.0,0.42,198.34,Union Bank Apps
2022,4,Utkarsh Small Finance Bank Apps,0.01,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.88,Utkarsh Small Finance Bank Apps
2022,4,WhatsApp,2.5,242.4,0.0,0.0,0.0,0.0,0.0,0.0,2.5,242.4,WhatsApp Pay
2022,4,Yes Bank Apps,34.07,10246.99,0.0,0.0,0.0,0.0,0.0,0.0,34.07,10246.99,Yes Bank Apps
2022,4,YuvaPay,0.06,103.34,0.0,0.0,0.0,0.0,0.0,0.0,0.06,103.34,YuvaPay
2022,4,Others,0.02,8.26,0.0,0.0,0.0,0.0,0.0,0.0,0.02,8.26,Others
2022,8,Airtel Payments Bank Apps,7.96,608.38,0.0,0.0,0.0,0.01,0.0,0.11,7.96,608.5,Airtel Payments Bank Apps
2022,8,Allahabad Bank Apps,0.03,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.03,7.7,Allahabad Bank Apps
2022,8,Amazon Pay,62.43,6353.15,0.0,0.0,0.0,0.0,0.0,0.0,62.43,6353.15,Amazon Pay
2022,8,AU Small Finance Bank Apps,0.45,138.7,0.0,0.0,0.0,0.0,0.0,0.0,0.45,138.7,AU Small Finance Bank Apps
